篇名	作者	页数	关键词	摘要	filename
图书情报学期刊高被引论文分析	胡军:10122808	5	图书情报学期刊; 高被引论文; 统计分析;	"通过《中国引文数据库》统计了国内图书情报学期刊发表的被引100次以上(含100次)的论文,笔者将这些论文界定为高被引论文(统计时间为2016年1月20日),共检索到高被引论文361篇。对这361篇高被引论文分别从年代、期刊、地区、机构、经典论文和高被引论文作者等方面进行分析,从而揭示我国图书情报学研究的现状。 "	SHGT201602015
广东省本科院校图书馆学术影响力与职称评审改革研究	蒋鸿标:10620426	5	广东省; 本科院校图书馆; 学术影响力; 职称改革;	"根据对广东省37所本科院校图书馆学术影响力的调查,发现职称评审过程中存在不尊重专业人才、轻视学术和缺乏公平、公正、公开等问题。建议采用定量与定性相结合的评审方式,即以定量评价为基础,防止人为因素的干预;对于突击发表论文、一稿多发或抄袭等不良行为行使一票否决权。并加强职称评审后的管理工作,建立科学的绩效考核制度,打破职称终身制,形成能上能下的人才评价机制,以促进我国图书馆事业的健康发展。 "	SHGT201602016
馆员职业能力建设与知识更新的探讨与思索	董嘉维:27852127	3	职业能力; 知识更新; 馆员;	"开展图书馆馆员职业能力建设是知识社会发展的必然结果,也是提高馆员素质的必然要求。图书资料专业技术人才知识更新是继学历教育之后,以学习新理论、新知识、新技术、新方法为主要内容的终身教育性图书资料知识更新学习,旨在使图书馆馆员在整个职业生涯中,不断提高专业工作能力和业务水平,跟上图书资料学科的发展。本文分析了高校图书馆开展馆员职业能力建设的必要性,阐述了图书资料知识更新的主要内容,并给出了开展培训工作的意见和建议。 "	SHGT201602018
论《思源籍府 书香致远:上海交通大学图书馆馆史》的编纂	陈幼华:09591353|黄文丽:30914280|郝雁:10729728	5	高校图书馆; 图书馆史; 编辑出版;	论文从国家战略、图书馆事业发展形势、上海交通大学图书馆个体发展特点等宏观与微观层面阐述了上海交通大学图书馆史的编纂背景;阐释了从组建编纂队伍、制订编纂方案、搜集与整理资料、撰写正文与制作附录、统稿、审稿与出版的编纂过程;从编纂体例、历史脉络、人物记述、内容呈现方式、行文的思想性与人文性以及史料准备程度等方面分析了馆史的编纂特点;并且总结了编纂高校图书馆史的关键要点。 	SHGT201602019
古籍修复档案新形式探索——以《历代钟鼎彝器款识法帖》的修复为例	喻融:35277791|叶倩如:35277792|沈喆韡:35277793|秦颖:06707506|余辉:06716782	7	修复档案; 基础数据; 古籍修复;	"本文记录了《历代钟鼎彝器款识法帖》的修复过程,包括版本信息、原书信息、破损状况、保存条件、修复预检、修复预案、修复要点、修复效果等。其中修复前的检测包括了纸张的厚度、色度、p H值、脱酸测试、封面洒金成分分析、洇墨实验、粘合实验。这种基于数据的修复档案可为修复人才的培养、行业内部、行业之间的交流提供参考素材。 "	SHGT201602020
柯灵编《作家笔会》作者笔名考录	马国平:09627555	6	现代文学; 上海; 柯灵; 作家笔会;	"《作家笔会》是现代著名散文家柯灵先生1945年10月编选的一本小书,内容多是建国前后文学界名人对我国现代文学史上著名作家、学者的深情回忆。《作家笔会》上的文章发表在沦陷时期的上海,故作者大都用的是笔名,加之时间久远,文章作者的真实身份一时难以釐清。本文在其他专家、学者考证的基础上,对部分难以釐定的作者作了认真考辨,补出剩余的部分作家的真实身份。 "	SHGT201602021
同济大学德文图书馆创新空间案例		 	 	 	SHGT201601001
智慧图书馆:高校图书馆发展的新亮点		1	 	"<正>随着网络信息技术的迅猛发展,高校图书馆智能化管理与服务正呈现快速发展的趋势。目前,RFID技术已经日趋成熟,应用成本大幅下降。据调查,上海部分""985""高校、""211""高校、地方高校、高职高专院校等图书馆,纷纷在新馆建设或老馆改造中,实现了智能化管理。大部分图书馆引进的是较为成熟的远望谷RFID "	SHGT201601002
李政道图书馆简介		1	 	"<正>李政道图书馆位于上海交通大学闵行校区,于2014年12月28日落成,由实体图书馆和李政道数字资源中心(http://www.tdleelib.info/)两大部分组成。李政道图书馆开创性地实现了包括图书馆、档案馆、博物馆、科技馆和艺术馆在内的""五馆合一""的功能定位。 "	SHGT201601003
上海海事大学图书馆“众创空间”有力助推师生学习研讨、创新交流		1	 	"<正>为支持海大师生的学习交流、创新创业活动,上海海事大学图书馆于2015年5月25日、10月23日和12月14日分三批推出了""众创空间""服务,现馆内合计可供使用的服务空间已达10间,室内外面积超过800平方米,可同时满足12组149人进行室内讨论、交流,还可同时满足21小组80人进行室外讨论、交流。 "	SHGT201601004
2015“知网杯”上海高校资源发现系列大赛获奖名单		2	 	<正>一、主线比赛一等奖:华东理工大学二等奖:上海对外经贸大学上海杉达学院三等奖:上海旅游高等专科学校上海海事大学上海海关学院优秀奖:上海大学华东师范大学上海电力学院上海思博职业技术学院 	SHGT201601009
征稿启事		1	 	"<正>一、本刊为图书情报领域的综合性学术刊物,一直秉持工作交流、学术探讨、信息沟通的办刊理念,以发表上海高校图书情报工作的相关研究为主,并充分接纳全国同行的来稿。内容包括图书情报领域的研究论文、调查、综述、书刊评价、先进经验及学界业界动态。未来将继续关注图书馆实践,及时反映图书馆工作的新进展,新技术应用等。本刊不设固定栏目,备选栏目包括馆长论坛、 "	SHGT201601012
上海电机学院读书服务月十年历程回顾		1	 	"<正>2015年11月24日,上海电机学院第十届读书服务月闭幕式暨颁奖仪式在图书馆616报告厅成功举行,上海电机学院校长胡晟、华东政法大学等八所高校图书馆领导及相关部门、获奖师生等出席了闭幕式。上海电机学院图书馆馆长汤学华对本届读书服务月作了总结。至此,读书服务月活动在我校已圆满走过十年历程。 "	SHGT201601023
"文以载道,德以润心——华东师范大学图书馆开展“走进孔子”系列主题活动"		1	 	"<正>""天不生仲尼,万古如长夜。""孔子是中华民族的至圣先师,与佛陀、苏格拉底一起被誉为轴心时代三大圣人。吴道子在《先师孔子行教图》赞其""德牟天地,道冠古今。删述六经,垂宪万世。""为使学生更为亲切地感受圣哲的人格魅力与光辉思想,提升学生学习中华优秀传统文化的兴趣,华东师范大学图书馆在2015年,通过系列活动,让学生走进并了解圣哲孔子的思想世界。 "	SHGT201601024
2015“知网杯”上海高校资源发现系列大赛圆满落幕		1	 	"<正>2015年12月4日,历时近半年的""知网杯""上海高校资源发现系列大赛主线比赛在上海师范大学图书馆圆满落幕。此次大赛由上海市高等学校图书情报工作委员会、上海市高等学校图书情报工作委员会文献资源建设工作组牵头主办,华东师范大学、上海师范大学、华东理工大学、华东政法大学、 "	SHGT201601025
上海电力学院“真人图书馆”学生系列举办留学生专场		1	 	"<正>2015年年末圣诞节来临之际,上海电力学院图书馆与国际交流与合作处举办了""真人图书馆""学生系列第2期外国留学生专场。活动主题是""Take me to your heart---My Dream in SHIEP(上海电力学院)。活动于12月23日晚6点在浦东校区大学生活动中心举行,吸引了全校各学院来自津巴布韦、 "	SHGT201601026
“2016迎新送春联笔会暨迎新春联书法作品展”系列活动在华东师范大学图书馆隆重开幕		1	 	"<正>""如此江山、如此岁月,泱泱华夏,韶华胜极,我心澎湃""……2015年12月30日上午,由学校宣传部、图书馆、艺术研究所和上海市中国书法研究中心联合主办的""2016迎新送春联笔会暨迎新春联书法作品展""系列活动在中北图书馆隆重开幕。华东师范大学副校长汪荣明,图书馆馆长胡晓明,常务副 "	SHGT201601027
上海旅游高等专科学校图书馆举办以“一带一路”为主题的世界读书日系列活动		1	 	"<正>为迎接第20个世界读书日的到来,鼓励阅读和引导师生利用图书馆资源,2015年4月22日至5月13日,上海旅专图书馆举办了以""一带一路""为主题的世界读书日系列活动。此次世界读书日活动包括5个系列活动,分别是""一带一路""书评活动、""一带一路""旅游线路设计大赛、""一带一路""旅游数字资源检索大赛、还书免责和上机免费 "	SHGT201601028
《民国文献整理与研究发展报告》发布会综述		1	 	"<正>2015年12月4日,《民国文献整理与研究发展报告》(以下称《发展报告》)发布会在上海师范大学召开,出席发布会的有上海师范大学副校长刘晓敏、社科处处长陈恒、图书馆馆长刘民钢、上海书店出版社文史编辑室主任完颜绍元、上海图书馆历史文献中心主任黄显功、上海师范大学天 "	SHGT201601029
高校图书馆未来发展面临的问题与思考	刘民钢:08588090	4	高校图书馆; 图书馆转型; 发展趋势;	"本文从高校图书馆的功能和职责出发探讨高校图书馆的发展,认为更为专业的图书文献信息保存、更加舒适和多样化的阅读空间、更加丰富的文献资源和方便的信息获取渠道以及更高的馆员职业素养和专业服务水平四个方面将是未来高校图书馆的发展方向,并就此提出了高校图书馆可能面临的挑战及对策。 "	SHGT201601006
